"name","d15n_air","d13c_vpdb","date"
"1",4.92,NA,2022-10-24
"2",3.74,NA,2022-10-24
"3",9.68,NA,2022-10-24
"4",0.51,-28.91,2022-10-24
"5",6.42,NA,2022-10-24
"6",-6.08,NA,2022-10-24
"7",12.14,-27.73,2022-10-24
"8",2.81,-28.66,2022-10-24
"9",8.1,NA,2022-10-24
"10",5.5,-15.41,2022-10-24
"11",-0.73,-26.71,2022-10-24
"12",2.48,-26.55,2022-10-24
"13",1.6,-27.03,2022-10-24
"14",8.21,-28.54,2022-10-24
"15",7.02,-27.03,2022-10-24
"16",1.73,-28.64,2022-10-24
"17",2.03,-28,2022-10-24
"18",9.88,-4.08,2022-10-24
"19",5.87,-28.11,2022-10-24
"20",2.31,-27.91,2022-10-24
"21",3.52,-25.95,2022-10-24
"22",1.54,-27.52,2022-10-24
"23",5.7,-26.41,2022-10-24
"24",4.43,-27.26,2022-10-24
"25",2.06,-25.98,2022-10-24
"26",1.43,-28.39,2022-10-24
"27",2.97,-28.18,2022-10-24
"28",4.48,-26.84,2022-10-24
"29",4.16,-28.79,2022-10-24
"30",3.26,-28.7,2022-10-24
"31",6.88,-29.16,2022-10-24
"32",10.45,-29.71,2022-10-24
"33",15.2,-16.3,2022-10-24
"34",5.63,-26.74,2022-10-24
"35",68.27,-28.3,2022-10-24
"36",82.3,NA,2022-10-24
"37",54.39,-20.91,2022-10-24
"38",4.7,-26.3,2022-10-24
"39",12.6,-16.85,2022-10-24
"40",8.54,-26.97,2022-10-24
"41",12.77,NA,2022-10-24
"42",4.42,-28.95,2022-10-24
"43",7.65,NA,2022-10-24
"44",8.08,-26.67,2022-10-24
"45",12.41,-27.15,2022-10-24
"46",12.64,NA,2022-10-24
"47",14.26,-27.84,2022-10-24
"48",61.95,-29,2022-10-24
"49",12.3,NA,2022-10-24
"50",26.35,-22.92,2022-10-24
"51",9.09,-24.6,2022-10-24
"52",8.9,-28.23,2022-10-24
"53",-2.13,-28.97,2022-10-24
"54",8,-28.61,2022-10-24
"55",-1.41,-26.82,2022-10-24
"56",62.53,-27.88,2022-10-24
"57",9.42,-27.33,2022-10-24
"58",48.82,-27.27,2022-10-24
"59",17.85,-27.12,2022-10-24
"60",5.77,-27.29,2022-10-24
"61",8.28,-27.47,2022-10-24
"62",0.83,-26.29,2022-10-24
"63",7.16,-26.63,2022-10-24
"64",3.48,-26.85,2022-10-24
"65",14.91,-26.95,2022-10-24
"66",-2.62,-14.09,2022-10-24
"67",9.68,-27.38,2022-10-24
"68",16.5,-27.02,2022-10-24
"69",5.48,-26.59,2022-10-24
"70",5.13,NA,2022-10-24
